GEO_ID,NAME,GEO_ID_F,NAICS2017,NAICS2017_LABEL,NAICS2017_F,LFO,LFO_LABEL,EMPSZES,EMPSZES_LABEL,YEAR,ESTAB,PAYANN,PAYANN_N,PAYQTR1,PAYQTR1_N,EMP,EMP_N
0500000US48005,"Angelina County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,3,133,J,75,H,25,J
0500000US48005,"Angelina County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,3,N,N,N,N,N,N
0500000US48007,"Aransas County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,6,481,H,149,G,38,J
0500000US48007,"Aransas County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,5,N,N,N,N,N,N
0500000US48019,"Bandera County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,5,405,J,95,J,39,J
0500000US48019,"Bandera County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,3,N,N,N,N,N,N
0500000US48021,"Bastrop County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,5,342,G,144,H,73,J
0500000US48025,"Bee County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,4,85,G,47,H,30,H
0500000US48027,"Bell County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,33,2570,G,823,G,323,H
0500000US48027,"Bell County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,13,N,N,N,N,N,N
0500000US48027,"Bell County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,7,N,N,N,N,N,N
0500000US48027,"Bell County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,230,Establishments with 10 to 19 employees,2020,7,N,N,N,N,N,N
0500000US48027,"Bell County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,241,Establishments with 20 to 49 employees,2020,6,N,N,N,N,N,N
0500000US48029,"Bexar County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,257,38133,G,14015,G,3361,G
0500000US48029,"Bexar County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,83,N,N,N,N,N,N
0500000US48029,"Bexar County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,76,N,N,N,N,N,N
0500000US48029,"Bexar County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,230,Establishments with 10 to 19 employees,2020,54,N,N,N,N,N,N
0500000US48029,"Bexar County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,241,Establishments with 20 to 49 employees,2020,31,N,N,N,N,N,N
0500000US48029,"Bexar County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,242,Establishments with 50 to 99 employees,2020,11,N,N,N,N,N,N
0500000US48031,"Blanco County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,3,150,H,42,H,13,J
0500000US48037,"Bowie County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,3,362,H,145,J,29,J
0500000US48039,"Brazoria County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,20,2161,G,724,G,191,G
0500000US48039,"Brazoria County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,11,N,N,N,N,N,N
0500000US48039,"Brazoria County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,3,N,N,N,N,N,N
0500000US48039,"Brazoria County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,230,Establishments with 10 to 19 employees,2020,4,N,N,N,N,N,N
0500000US48041,"Brazos County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,35,4626,G,1596,G,554,G
0500000US48041,"Brazos County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,5,N,N,N,N,N,N
0500000US48041,"Brazos County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,6,N,N,N,N,N,N
0500000US48041,"Brazos County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,230,Establishments with 10 to 19 employees,2020,15,N,N,N,N,N,N
0500000US48041,"Brazos County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,241,Establishments with 20 to 49 employees,2020,8,N,N,N,N,N,N
0500000US48043,"Brewster County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,5,462,H,192,G,47,H
0500000US48043,"Brewster County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,3,N,N,N,N,N,N
0500000US48051,"Burleson County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,4,132,J,19,G,10,J
0500000US48051,"Burleson County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,4,N,N,N,N,N,N
0500000US48061,"Cameron County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,40,4090,G,1403,G,370,G
0500000US48061,"Cameron County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,13,N,N,N,N,N,N
0500000US48061,"Cameron County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,12,N,N,N,N,N,N
0500000US48061,"Cameron County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,230,Establishments with 10 to 19 employees,2020,13,N,N,N,N,N,N
0500000US48085,"Collin County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,29,10010,G,3047,G,496,G
0500000US48085,"Collin County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,4,N,N,N,N,N,N
0500000US48085,"Collin County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,3,N,N,N,N,N,N
0500000US48085,"Collin County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,230,Establishments with 10 to 19 employees,2020,13,N,N,N,N,N,N
0500000US48085,"Collin County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,241,Establishments with 20 to 49 employees,2020,8,N,N,N,N,N,N
0500000US48089,"Colorado County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,3,211,J,57,J,13,J
0500000US48091,"Comal County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,37,6652,G,2252,G,333,H
0500000US48091,"Comal County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,13,N,N,N,N,N,N
0500000US48091,"Comal County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,13,N,N,N,N,N,N
0500000US48091,"Comal County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,230,Establishments with 10 to 19 employees,2020,7,N,N,N,N,N,N
0500000US48091,"Comal County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,241,Establishments with 20 to 49 employees,2020,3,N,N,N,N,N,N
0500000US48099,"Coryell County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,3,88,H,34,H,11,J
0500000US48113,"Dallas County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,228,64978,G,23551,G,4526,G
0500000US48113,"Dallas County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,57,N,N,N,N,N,N
0500000US48113,"Dallas County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,45,N,N,N,N,N,N
0500000US48113,"Dallas County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,230,Establishments with 10 to 19 employees,2020,58,N,N,N,N,N,N
0500000US48113,"Dallas County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,241,Establishments with 20 to 49 employees,2020,45,N,N,N,N,N,N
0500000US48113,"Dallas County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,242,Establishments with 50 to 99 employees,2020,16,N,N,N,N,N,N
0500000US48113,"Dallas County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,251,Establishments with 100 to 249 employees,2020,7,N,N,N,N,N,N
0500000US48121,"Denton County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,59,10708,G,3410,G,793,G
0500000US48121,"Denton County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,20,N,N,N,N,N,N
0500000US48121,"Denton County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,8,N,N,N,N,N,N
0500000US48121,"Denton County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,230,Establishments with 10 to 19 employees,2020,18,N,N,N,N,N,N
0500000US48121,"Denton County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,241,Establishments with 20 to 49 employees,2020,11,N,N,N,N,N,N
0500000US48135,"Ector County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,19,3970,H,1312,H,281,H
0500000US48135,"Ector County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,5,N,N,N,N,N,N
0500000US48135,"Ector County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,4,N,N,N,N,N,N
0500000US48135,"Ector County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,230,Establishments with 10 to 19 employees,2020,5,N,N,N,N,N,N
0500000US48135,"Ector County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,241,Establishments with 20 to 49 employees,2020,4,N,N,N,N,N,N
0500000US48139,"Ellis County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,4,154,G,69,H,13,J
0500000US48141,"El Paso County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,125,13045,G,5017,G,1418,G
0500000US48141,"El Paso County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,37,N,N,N,N,N,N
0500000US48141,"El Paso County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,220,Establishments with 5 to 9 employees,2020,36,N,N,N,N,N,N
0500000US48141,"El Paso County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,230,Establishments with 10 to 19 employees,2020,31,N,N,N,N,N,N
0500000US48141,"El Paso County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,241,Establishments with 20 to 49 employees,2020,19,N,N,N,N,N,N
0500000US48143,"Erath County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,6,362,H,101,G,34,H
0500000US48143,"Erath County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,3,N,N,N,N,N,N
0500000US48149,"Fayette County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,1,All establishments,2020,7,414,G,101,G,40,G
0500000US48149,"Fayette County, Texas",null,7224,Drinking places (alcoholic beverages),null,1,All establishments,210,Establishments with less than 5 employees,2020,3,N,N,N,N,N,N
