BASE_DESCRIPTION,TOTAL_COUNT,TOTAL_DRUGS,PERCENT_TOTAL,Totals
5F-PB-22,163,112458,0.14,1
25B-NBOMe,145,112458,0.13,1
25C-NBOMe,139,112458,0.12,1
AB-CHMINACA,561,112458,0.5,1
AB-FUBINACA,1142,112458,1.02,1
AB-PINACA,761,112458,0.68,1
Acetaminophen,721,112458,0.64,1
Alprazolam,3933,112458,3.5,1
Amphetamine,922,112458,0.82,1
Benzocaine,146,112458,0.13,1
Caffeine,454,112458,0.4,1
Cannabis/THC,27270,112458,24.25,1
Carisoprodol,648,112458,0.58,1
Clonazepam,461,112458,0.41,1
Cocaine,21829,112458,19.41,1
Codeine,353,112458,0.31,1
Cyclobenzaprine,125,112458,0.11,1
Diazepam,232,112458,0.21,1
Dimethylsulfone,376,112458,0.33,1
Diphenhydramine,187,112458,0.17,1
Ethylone,431,112458,0.38,1
Etizolam,121,112458,0.11,1
FUB-PB-22,137,112458,0.12,1
Heroin,4347,112458,3.87,1
Hydrocodone,3020,112458,2.69,1
Hydromorphone,150,112458,0.13,1
Ibuprofen,132,112458,0.12,1
Lidocaine,216,112458,0.19,1
Lisdexamfetamine,222,112458,0.2,1
MDA,149,112458,0.13,1
MDMA,195,112458,0.17,1
Methadone,232,112458,0.21,1
Methamphetamine,30905,112458,27.48,1
Methylone,254,112458,0.23,1
Methylphenidate,149,112458,0.13,1
Morphine,264,112458,0.23,1
"Noncontrolled, non-narcotic",488,112458,0.43,1
Oxycodone,432,112458,0.38,1
PB-22,467,112458,0.42,1
Phencyclidine (PCP),1060,112458,0.94,1
Phenylimidothiazole (undetermined isomer),589,112458,0.52,1
Promethazine,467,112458,0.42,1
Psilocin,208,112458,0.18,1
TFMPP,146,112458,0.13,1
Testosterone,267,112458,0.24,1
Tetramisole,365,112458,0.32,1
Tramadol,277,112458,0.25,1
Trazodone,133,112458,0.12,1
XLR11,1615,112458,1.44,1
alpha-PVP,186,112458,0.17,1
Totals,,,,50
