T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
State Level Annual Discipline Summary,,,,
,,,,
PEIMS Discipline Data for 2020-2021,,,,
,,,,
AGGREGATION LEVEL,SECTION,HEADING,HEADING NAME,YR21
STATE SUMMARY,A-PARTICIPATION,A01,STATE CUMULATIVE YEAR END ENROLLMENT,5539732
STATE SUMMARY,A-PARTICIPATION,A02,STATE DISCIPLINE POPULATION,250975
STATE SUMMARY,A-PARTICIPATION,A03,STATE DISCIPLINE RECORD COUNT,550431
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B01,COUNT OF STUDENTS EXPELLED TO JJAEP,1184
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B02,MANDATORY EXPULSIONS TO JJAEP,590
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B03,DISCRETIONARY EXPULSIONS TO JJAEP,619
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B04,COUNT OF STUDENTS EXPELLED,2101
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B05,MANDATORY EXPULSIONS,1110
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B06,DISCRETIONARY EXPULSIONS,1047
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B07,COUNT OF STUDENTS REMOVED TO A DAEP,33235
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B08,MANDATORY DAEP REMOVALS,17091
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B09,DISCRETIONARY DAEP REMOVALS,20514
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B10,COUNT OF STUDENTS SUSPENDED IN SCHOOL,209577
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B13,STUDENTS SUSPENDED OUT OF SCHOOL,77325
STATE SUMMARY,C-JJAEP EXPULSIONS,C01,AMERICAN INDIAN OR ALASKA NAT,-999
STATE SUMMARY,C-JJAEP EXPULSIONS,C02,ASIAN,13
STATE SUMMARY,C-JJAEP EXPULSIONS,C03,BLACK OR AFRICAN AMERICAN,232
STATE SUMMARY,C-JJAEP EXPULSIONS,C04,HISPANIC/LATINO,657
STATE SUMMARY,C-JJAEP EXPULSIONS,C05,NATIVE HAWAIIAN/OTHER PACIFIC,-999
STATE SUMMARY,C-JJAEP EXPULSIONS,C06,TWO OR MORE RACES,41
STATE SUMMARY,C-JJAEP EXPULSIONS,C07,WHITE,259
STATE SUMMARY,D-EXPULSION ACTIONS,C08,AMERICAN INDIAN OR ALASKA NAT,-999
STATE SUMMARY,D-EXPULSION ACTIONS,C09,ASIAN,21
STATE SUMMARY,D-EXPULSION ACTIONS,C10,BLACK OR AFRICAN AMERICAN,344
STATE SUMMARY,D-EXPULSION ACTIONS,C11,HISPANIC/LATINO,1213
STATE SUMMARY,D-EXPULSION ACTIONS,C12,NATIVE HAWAIIAN/OTHER PACIFIC,-999
