BASE_DESCRIPTION,TOTAL_COUNT,TOTAL_DRUGS,PERCENT_TOTAL,Totals
5F-PB-22,75,87605,0.09,1
25I-NBOMe,169,87605,0.19,1
AB-FUBINACA,206,87605,0.24,1
AB-PINACA,91,87605,0.1,1
AM2201,80,87605,0.09,1
Acetaminophen,702,87605,0.8,1
Alprazolam,2694,87605,3.08,1
Amphetamine,725,87605,0.83,1
Benzocaine,101,87605,0.12,1
Buprenorphine,73,87605,0.08,1
Caffeine,352,87605,0.4,1
Cannabis/THC,20858,87605,23.81,1
Carisoprodol,546,87605,0.62,1
Clonazepam,431,87605,0.49,1
Cocaine,17752,87605,20.26,1
Codeine,326,87605,0.37,1
Cyclobenzaprine,103,87605,0.12,1
Diazepam,216,87605,0.25,1
Dimethylsulfone,477,87605,0.54,1
Diphenhydramine,159,87605,0.18,1
Heroin,3919,87605,4.47,1
Hydrocodone,2685,87605,3.06,1
Hydromorphone,168,87605,0.19,1
Ibuprofen,140,87605,0.16,1
Lidocaine,255,87605,0.29,1
Lisdexamfetamine,199,87605,0.23,1
MDA,126,87605,0.14,1
MDMA,182,87605,0.21,1
Methadone,269,87605,0.31,1
Methamphetamine,22374,87605,25.54,1
Methylone,575,87605,0.66,1
Methylphenidate,109,87605,0.12,1
Morphine,245,87605,0.28,1
"Noncontrolled, non-narcotic",556,87605,0.63,1
Oxycodone,371,87605,0.42,1
PB-22,221,87605,0.25,1
Phencyclidine (PCP),499,87605,0.57,1
Phenylimidothiazole (undetermined isomer),750,87605,0.86,1
Promethazine,242,87605,0.28,1
Psilocin,264,87605,0.3,1
Quetiapine,90,87605,0.1,1
TFMPP,94,87605,0.11,1
Testosterone,171,87605,0.2,1
Tetramisole,357,87605,0.41,1
Tramadol,198,87605,0.23,1
Trazodone,99,87605,0.11,1
UR-144,315,87605,0.36,1
XLR11,3059,87605,3.49,1
Zolpidem,100,87605,0.11,1
alpha-PVP,76,87605,0.09,1
Totals,,,,50
