BASE_DESCRIPTION,TOTAL_COUNT,TOTAL_DRUGS,PERCENT_TOTAL,Totals
5F-MDMB-PICA,122,102940,0.12,1
6-Acetylmorphine,142,102940,0.14,1
ADB-BUTINACA,430,102940,0.42,1
ANPP,294,102940,0.29,1
Acetaminophen,973,102940,0.95,1
Alprazolam,1843,102940,1.79,1
Amphetamine,549,102940,0.53,1
Benzocaine,90,102940,0.09,1
Bromazolam,62,102940,0.06,1
Buprenorphine,106,102940,0.1,1
Caffeine,1530,102940,1.49,1
Cannabidiol,95,102940,0.09,1
Cannabis/THC,10253,102940,9.96,1
Carisoprodol,137,102940,0.13,1
Clonazepam,142,102940,0.14,1
Clonazolam,207,102940,0.2,1
Cocaine,15257,102940,14.82,1
Codeine,188,102940,0.18,1
DMT,81,102940,0.08,1
Denatonium,67,102940,0.07,1
Dimethylsulfone,737,102940,0.72,1
Diphenhydramine,502,102940,0.49,1
Etizolam,327,102940,0.32,1
Eutylone,875,102940,0.85,1
Fentanyl,2073,102940,2.01,1
Flualprazolam,286,102940,0.28,1
Flubromazolam,70,102940,0.07,1
Gamma hydroxy butrate,82,102940,0.08,1
Heroin,4879,102940,4.74,1
Hydrocodone,565,102940,0.55,1
Ketamine,86,102940,0.08,1
Lidocaine,272,102940,0.26,1
Lysergic acid diethylamide (LSD),259,102940,0.25,1
MDMA,309,102940,0.3,1
MDMB-4en-PINACA,257,102940,0.25,1
Melatonin,86,102940,0.08,1
Methadone,87,102940,0.08,1
Methamphetamine,52541,102940,51.04,1
Morphine,101,102940,0.1,1
Nicotine,67,102940,0.07,1
Oxycodone,399,102940,0.39,1
Phenacetin,89,102940,0.09,1
Phencyclidine (PCP),858,102940,0.83,1
Phenylimidothiazole (undetermined isomer),551,102940,0.54,1
Promethazine,474,102940,0.46,1
Psilocin,750,102940,0.73,1
Testosterone,101,102940,0.1,1
Tetramisole,151,102940,0.15,1
Tramadol,396,102940,0.38,1
para-Fluorofentanyl,97,102940,0.09,1
Totals,,,,50
