BASE_DESCRIPTION,TOTAL_COUNT,TOTAL_DRUGS,PERCENT_TOTAL,Totals
4F-MDMB-BUTINACA,588,128306,0.46,1
5F-ADB ,400,128306,0.31,1
5F-MDMB-PICA,832,128306,0.65,1
6-Acetylmorphine,198,128306,0.15,1
Acetaminophen,783,128306,0.61,1
Alprazolam,2202,128306,1.72,1
Amphetamine,912,128306,0.71,1
Benzocaine,111,128306,0.09,1
Buprenorphine,138,128306,0.11,1
Caffeine,1477,128306,1.15,1
Cannabidiol,570,128306,0.44,1
Cannabinol,158,128306,0.12,1
Cannabis/THC,23508,128306,18.32,1
Carisoprodol,255,128306,0.2,1
Clonazepam,253,128306,0.2,1
Clonazolam,121,128306,0.09,1
Cocaine,19027,128306,14.83,1
Codeine,362,128306,0.28,1
Dimethylsulfone,572,128306,0.45,1
Diphenhydramine,405,128306,0.32,1
Etizolam,774,128306,0.6,1
FUB-144,113,128306,0.09,1
FUB-AMB ,265,128306,0.21,1
Fentanyl,444,128306,0.35,1
Flualprazolam,291,128306,0.23,1
Fluoro-MDMB-BUTINACA,183,128306,0.14,1
Fluoro-MDMB-PICA,433,128306,0.34,1
Heroin,6142,128306,4.79,1
Hydrocodone,902,128306,0.7,1
Lidocaine,161,128306,0.13,1
Lisdexamfetamine,149,128306,0.12,1
Lysergic acid diethylamide (LSD),220,128306,0.17,1
MDMA,456,128306,0.36,1
MDMB-4en-PINACA,355,128306,0.28,1
Methadone,135,128306,0.11,1
Methamphetamine,55878,128306,43.55,1
Morphine,154,128306,0.12,1
N-Ethylpentylone,289,128306,0.23,1
Nicotine,343,128306,0.27,1
"Noncontrolled, non-narcotic",364,128306,0.28,1
Oxycodone,488,128306,0.38,1
Phenacetin,123,128306,0.1,1
Phencyclidine (PCP),1123,128306,0.88,1
Phenylimidothiazole (undetermined isomer),426,128306,0.33,1
Promethazine,661,128306,0.52,1
Psilocin,414,128306,0.32,1
Testosterone,123,128306,0.1,1
Tetrahydrocannabinols,171,128306,0.13,1
Tetramisole,203,128306,0.16,1
Tramadol,341,128306,0.27,1
Totals,,,,50
