BASE_DESCRIPTION,TOTAL_COUNT,TOTAL_DRUGS,PERCENT_TOTAL,Totals
1-Benzylpiperazine (BZP),149,96370,0.15,1
4-MEC,175,96370,0.18,1
AM2201,1565,96370,1.62,1
Acetaminophen,713,96370,0.74,1
Alprazolam,3927,96370,4.07,1
Amphetamine,775,96370,0.8,1
Benzocaine,114,96370,0.12,1
Caffeine,206,96370,0.21,1
Cannabis/THC,26397,96370,27.39,1
Carisoprodol,845,96370,0.88,1
Clonazepam,656,96370,0.68,1
Cocaine,19670,96370,20.41,1
Codeine,417,96370,0.43,1
Cyclobenzaprine,152,96370,0.16,1
Diazepam,363,96370,0.38,1
Dimethylsulfone,614,96370,0.64,1
Heroin,4020,96370,4.17,1
Hydrocodone,4029,96370,4.18,1
Hydromorphone,199,96370,0.21,1
Ibuprofen,161,96370,0.17,1
JWH-122,226,96370,0.23,1
JWH-210,115,96370,0.12,1
Lidocaine,181,96370,0.19,1
Lisdexamfetamine,250,96370,0.26,1
Lorazepam,150,96370,0.16,1
MAM-2201,299,96370,0.31,1
MDMA,487,96370,0.51,1
MDPV,141,96370,0.15,1
Methadone,321,96370,0.33,1
Methamphetamine,18263,96370,18.95,1
Methylone,446,96370,0.46,1
Methylphenidate,140,96370,0.15,1
Morphine,263,96370,0.27,1
"Noncontrolled, non-narcotic",606,96370,0.63,1
Oxycodone,452,96370,0.47,1
Pentedrone,160,96370,0.17,1
Phencyclidine (PCP),446,96370,0.46,1
Phenylimidothiazole (undetermined isomer),618,96370,0.64,1
Promethazine,223,96370,0.23,1
Psilocin,289,96370,0.3,1
Quetiapine,162,96370,0.17,1
TFMPP,298,96370,0.31,1
Testosterone,190,96370,0.2,1
Tetramisole,183,96370,0.19,1
Tramadol,264,96370,0.27,1
Trazodone,129,96370,0.13,1
UR-144,761,96370,0.79,1
XLR11,909,96370,0.94,1
Zolpidem,161,96370,0.17,1
alpha-PVP,181,96370,0.19,1
Totals,,,,50
