T E X A S  E D U C A T I O N  A G E N C Y,,,,
,,,,
State Level Annual Discipline Summary,,,,
,,,,
PEIMS Discipline Data for 2021-2022,,,,
,,,,
AGGREGATION LEVEL,SECTION,HEADING,HEADING NAME,YR22
STATE SUMMARY,A-PARTICIPATION,A01,STATE CUMULATIVE YEAR END ENROLLMENT,5629272
STATE SUMMARY,A-PARTICIPATION,A02,STATE DISCIPLINE POPULATION,551994
STATE SUMMARY,A-PARTICIPATION,A03,STATE DISCIPLINE RECORD COUNT,1441511
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B01,COUNT OF STUDENTS EXPELLED TO JJAEP,3178
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B02,MANDATORY EXPULSIONS TO JJAEP,1918
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B03,DISCRETIONARY EXPULSIONS TO JJAEP,1363
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B04,COUNT OF STUDENTS EXPELLED,6049
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B05,MANDATORY EXPULSIONS,3223
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B06,DISCRETIONARY EXPULSIONS,3072
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B07,COUNT OF STUDENTS REMOVED TO A DAEP,85550
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B08,MANDATORY DAEP REMOVALS,50885
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B09,DISCRETIONARY DAEP REMOVALS,50799
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B10,COUNT OF STUDENTS SUSPENDED IN SCHOOL,441923
STATE SUMMARY,B-DISCIPLINE DATA TRENDS,B13,STUDENTS SUSPENDED OUT OF SCHOOL,229283
STATE SUMMARY,C-JJAEP EXPULSIONS,C01,AMERICAN INDIAN OR ALASKA NAT,-999
STATE SUMMARY,C-JJAEP EXPULSIONS,C02,ASIAN,26
STATE SUMMARY,C-JJAEP EXPULSIONS,C03,BLACK OR AFRICAN AMERICAN,661
STATE SUMMARY,C-JJAEP EXPULSIONS,C04,HISPANIC/LATINO,1939
STATE SUMMARY,C-JJAEP EXPULSIONS,C05,NATIVE HAWAIIAN/OTHER PACIFIC,-999
STATE SUMMARY,C-JJAEP EXPULSIONS,C06,TWO OR MORE RACES,81
STATE SUMMARY,C-JJAEP EXPULSIONS,C07,WHITE,558
STATE SUMMARY,D-EXPULSION ACTIONS,C08,AMERICAN INDIAN OR ALASKA NAT,-999
STATE SUMMARY,D-EXPULSION ACTIONS,C09,ASIAN,51
STATE SUMMARY,D-EXPULSION ACTIONS,C10,BLACK OR AFRICAN AMERICAN,1207
STATE SUMMARY,D-EXPULSION ACTIONS,C11,HISPANIC/LATINO,3809
STATE SUMMARY,D-EXPULSION ACTIONS,C12,NATIVE HAWAIIAN/OTHER PACIFIC,-999
STATE SUMMARY,D-EXPULSION ACTIONS,C13,TWO OR MORE RACES,143
STATE SUMMARY,D-EXPULSION ACTIONS,C14,WHITE,1050
STATE SUMMARY,E-DAEP PLACEMENTS,C15,AMERICAN INDIAN OR ALASKA NAT,365
STATE SUMMARY,E-DAEP PLACEMENTS,C16,ASIAN,749
STATE SUMMARY,E-DAEP PLACEMENTS,C17,BLACK OR AFRICAN AMERICAN,23100
STATE SUMMARY,E-DAEP PLACEMENTS,C18,HISPANIC/LATINO,55016
